,FileName,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
10,6q1dX6thX3E_286_295,A man is talking on the phone.,A man is talking on a phone.,A man is talking on the phone.,A man is talking on a cell phone.,A man is talking on the phone.,A man is talking on mobile phone.,A man is speaking on a telephone.,A man is talking on the telephone.,A man is talking on a cell phone.,A man talks on a telephone.,A man is talking on the phone.,A man is talking on the phone.,A man speaks on a cell phone.,The man talked on the telephone.,The man is talking on the phone.,A man talks on the phone.,A mand talked on the phone.,the man is very happy to speak in the cell phone,A man is talking on the phone.,a person taking on phone,THree boys is talk in office,a men is talking in phone,A man is talking on a phone.,A man is talking on a phone.,A man is on conversation on phone.,A man is talking on a mobile.,A lone man in a white shirt and brown tie looking unhappy.,A man is talking on a phone.,a man is talking in the phone.,A man stands up and talks on his cellphone.,A man is talking on his cell phone.,A man is talking on the phone.,Someone is talking on the phone.,A man is talking in his mobile phone.,A man talking to someone on telephone.,A man is chatting on phone,A man is talking on a cordless phone.,The man is talking on the phone.,A man is speaking on a phone.,A man is talking on the phone.,A man talks on the phone.,He is talking on the phone,the person is talking with phone,A MAN IS SPEAKING PHONE .,A man is talking in phone.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,mFCf8lLXrUc_25_35,A person is peeling a mango.,A chef is peeling a mango.,A large mango is peeled.,A man peeled an avocado.,A mango is being peeled.,A mango is being peeled.,A mango is peeled.,A person is peeling the skin off a mango using a knife.,A person peels a mango.,A woman is peeling a mango.,A woman is peeling a mango.,A woman is peeling the skin of a mango using a vegetable peeler.,An individual peels a mango.,Someone is peeling a mango.,Someone is peeling a squash.,The person is peeling a mango.,The person is slicing the skin off the mango.,A woman is peeling a mango.,A person peels a mango.,A person is peeling a mango.,The woman is showing how to prepare mango fruits.,peeling  off the mangoes,Chopped mangoes ready for the eating.,A woman peeling a mango.,A person is peeling a mango.,A person is peeling a mango.,A lady removing the mango peel using peeler .,one lady removing skin from mango,Someone is peeling a mango ready to slice.,A guy prepares the mango slices.,The outer layer of mango is pealed off.,A woman is peeling the skin off of a mango.,A person peels a mango with a vegetable peeler.,taking of the pickel of any friut,A msngo's skin is being peeled.,A person is peeling a mango.,Someone is peeling a mango.,A woman is slicing a mango.,A person is peeling mangos.,A woman peels a mango.,A person trying to remove the covering of a mango through a knife.,A person shows how to peel and cut a mango.,A woman is cutting mango.,A woman shows how to remove mango cover.,Someone peeled a fruit.,Someone is peeling a mango.,cutting the mango,The cook is peeling a mango.,A woman is peeling a mango.,A woman is peeling a mango.,"Making mangoes still sweeter, removing the upper skin",Someone is peeling a mango.,Someone peeled a fruit.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,6eokrw6_bjU_1_9,A woman is firing a rifle.,A girl is spraying the field with a gun.,A girl is shooting a gun multiple times.,A woman is shooting a gun.,A woman is firing with an assault rifle.,A woman is shooting off a gun.,A woman is firing an assault rifle into a hill.,A woman fires an assault rifle.,A girl is firing an automatic rifle.,A woman standing on grassland is holding a rifle and shooting a series of bullets in the air.,a woman taking pices on the farm,The girl shot the semi-automatic rifle.,The woman is shooting a machine gun.,A girl shots a gun.,A woman is shooting an automatic rifle.,A girl shot an automatice rifle in the field.,A girl is shooting with the gun.,A girl is standing and continuosly  firing,A girl with gun,A woman is firing a gun.,A woman is firing with AR15 gun.,A woman is standing in a field shooting a gun.,a woman shooting a shot gun,a woman shooting gun.,A women is firing with the gun,one girl taking training of shooting,she is shooting,woman firing with a machine gun,A girl is firing a gun outside.,A girl is firing a semi automatic weapon.,A girl is firing gun.,A girl is shooting a gun,A lady doing some sort of shooting practise in a lonely place.,A lady shoots with a sten gun.,A woman fires a gun,A woman in a grassy field is shooting a machine gun.,A woman is firing a gun.,A woman is firing a machine gun.,A woman is firing an AR 15 assault rifle.,A woman is shooting a gun in a grassy field.,A woman is shooting a gun.,A woman is shooting a gun.,A woman is shooting a gun.,A woman is shooting a large gun.,A woman is shooting a machine gun.,A woman is shooting standing in grass.,A woman is shooting with gun.,A woman is shooting.,A woman is standing in a field shooting a gun.,A woman is taking the training of gun.,A woman practicing shooting with a gun,A woman shoots a gun outside.,a woman with a gun,A LADY SHOOTING WITH MACHINE GUN,she is check with the gun,A girl with a Machine gun.,,,,,,,,,,,,,,,,,,,,,,,,,
13,E2r6nnkwl0c_6_18,A group of boys are jumping into a river.,A group of people are jumping into water.,Men are diving into the river.,Men are jumping into water from a bridge.,Men are swimming.,Men jump in a river.,People are jumping in a river.,People are jumping off a bridge into water.,Several men are jumping off a bridge into a creek.,Several men jump off a small bridge into a pool of water.,Several people play in a river.,Some young men dive and jump into the water.,The men dived into the water from the bridge.,The men jumped into the river.,The people dived off the rock bridge.,Three men jump off of a small bridge.,"Two men dive into the water, where two others are already swimming.",Men are diving in the river.,They are jumping into the river,the boys are jumping in to lake,Men jump into a river.,boys are playing in the water,a man is jumping on the water.,3 persons diving in to the river.,People were jumping into the water.,People are jumping into the water.,All people are jumping into water.,People dive into the water.,Some men are diving into water.,A group of men are diving into a lake.,Men are diving into water.,A group of men jumping into water,some people taking bath,Men are diving in the water.,He is jumping in water  very well.,People jump into a creek.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,n016q1w8Q30_2_11,Cards are being shuffled.,A man is holding a pack of playing cards and rubbing the top most card which then disappears!,A man is displaying a deck of cards in his hands and he palms the top card in the deck.,A man is doing a card trick.,A man is doing card tricks.,A man is doing some trick with play cards.,A person is doing card tricks.,A person is performing a card trick.,A person manipulates a deck of playing cards.,An individual handles a deck of cards.,Someone did a card trick.,Someone did a card trick.,Someone is doing a card trick.,Someone is holding a deck of cards.,The man is doing card tricks.,a women is playing the card,a man doing magic with cards.,A man is doing magic with cards.,A man is playing with the cards.,he is faking on the game,men playing cards game.,person showing something with cards,"sleight of hand magic card trick, revealed!",Someone is doing tricks with a deck of cards.,A card being flipped which has 7 seven hearts on one side and king of spades on another side.,A man does card tricks.,A man doing some sort of magic tricks with the playing cards.,A man is demonstrating a card trick.,A man is doing a card trick.,A man is doing magic by cards.,A man is doing magic with play cards.,A man is doing some magic by cards.,A man is performing a card trick.,A man is showing hand magic.,A man is showing magic with playing cards.,A man is slowly demonstrating a card trick.,A MAN MAGIC WITH A CARD,a man shuffle the cards.,A person does a magic trick with cards.,A person is demonstrating how to do card tricks.,A person is doing magic tricks with cards.,A person is performing some card tricks.,A person is shoufling the cards.,Man preforms sleight of hand with cards.,Playing a card trick.,Sleight of hand card tricks.,"Sleight of Hand magic card trick, revealed",Someone is doing tricks with cards.,Someone is holding a deck of cards and performing a card trick.,Someone is performing a trick with a deck of cards.,Someone is playing a card trick.,Someone is playing with cards,Someone playing with cards.,Someone playing with cards.,The man showing the tricks of playing card.,This video shows a nice card trick,A MAN IS PLAYING A CARD.,the person is playing with cards game,A Man Showing Hand magic card.,,,,,,,,,,,,,,,,,,,,,,
15,rQuNYxNmA6M_0_4,A baseball player throwing ball.,A baseball players in practice on public place.,A baseball team is practicing.,A boy is playing baseball.,A boy is throwing a baseball in a ball game.,A couple of baseball players toss a baseball.,A couple walks toward three baseball players.,A group of men pretending playing baseball to fool people for fun.,A man is throwing a baseball to another man.,a team playing base ball,A trio of players are playing baseball in the park.,An amateur baseball team warming up in a parking lot.,Baseball players practice the catches in ground during a sunny day.,Guys are practicing cricket.,IN VIDEO BOYS ARE PLAYING BASSBALL .,It is a funny baseeball video,Men are playing simulated baseball in the park.,Men are throwing a baseball.,Men are tossing a baseball to each other.,Some Asian men are practicing baseball on the sidewalk in a park.,Some guys practicing playing baseball.,Some people are throwing a baseball.,some person are practicing a baseball.,Some youngsters are playing baseball in a park.,The pitcher tossed the ball back and forth to a player.,The players are practising baseball on streets.,Three baseball players are practicing.,Three baseball players are warming up in a public park.,Three boys are practicing baseball.,Three men are playing baseball in the park.,Three men are playing baseball.,Three men are playing baseball.,Three men are practicing base ball in the park,Three men in baseball uniforms are practicing when two people dressed in black walk up.,Three people are getting ready to play baseball.,Two baseball players are playing catch.,Two man play throw and catch with ball.,Two men are passing a baseball between each other while a man behind them is swinging a baseball bat.,Two men are playing catch.,Two men are playing with the ball.,Two men were playing catch with a baseball.,Two white males throw a baseball back and forth while an Asian couple watches.,Video shows gags.,Three baseball team players are practicing their sport while interrupting a walk way in the park.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,ByGspTdA1ug_16_24,A person is sliding a cat across the floor.,cat is very happy.,The girl is pushing the sleeping cat along the floor towards the wall.,A man pushing a cat through floor,A man wipes the floor with a nonchalant cat.,A person is pushing a sleeping cat along the corridor.,A women is sliding a cat,A man is pushing a cat around the wood floor.,boy is cleaning floor with the cat,A MAN IS SWEEPING A CAT ON FLOOR.,A man is shifting a cat over the floor.,A cat enjoying its ride sleeping on the fine floor,There is a man pushing a cat across a wooden floor while the cat lies limp.,A man is sliding a cat on the floor.,A person is playing with a cat.,Boy cleaning the floor with the cat.,A cat is being pushed across the floor by a man.,A person is dragging a cat over the floor.,This man is pushing a cat across the floor.,cat is very happy,A person pushes a cat across a wood floor.,Someone slides a cat across a wooden floor.,A man is sliding a cat across a polished floor.,A man dusts his wood floor with his cat.,A guy is pushing a cat lying on the floor.,A man is moving his cat on the floor.,"The owner of the cat, used the cat to mop the floor.",A women is stressing acat.,A lady is dragging a lying cat,"A man is pushing a cat, who is laying on his side, across the floor and down the hall.",A person is sliding a cat across the floor.,A man pushes a cat across the floor like a dust mop.,The young man is sliding a cat across the wooden floor.,A man is pushing a cat along the floor.,A man is playing with the cat.,A man pushes a cat across a hardwood floor.,A cat is being slid around the floor.,A man is pushing a cat along the wooden floor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,-_hbPLsZvvo_323_328,A man is arranging sushi.,A person is arranging food on a dish.,A person is making a hot dog piece look like an octopus.,A woman arranges a food dish.,A woman cuts a squid.,A woman is adding eyes to squash cut into ghost-like pieces.,A woman is arranging some food and decorating it.,A woman is decorating some food.,A woman is preparing a plate of food.,A woman is preparing food.,"A woman places sesame seeds as eyes, on an octopus-shaped sausage placed on a small white tray.",A woman prepares a sushi tray.,Sesame seed eyes are added to a sausage cut to look like an octopus.,Someone is decorating a cut piece of sausage with eyes.,Someone is decorating food on a plate.,Someone made the sushi look like an octopus.,The lady made the sushi look like an octopus.,The woman is garnishing vegetables.,"A woman garnish a Bento dish in the serving plate,",A woman is putting a vegetable on a plate.,the person is showing how to make bento,A woman prepares a bento box.,A person puts seeds on a hot dog.,A person is placing the black thing on the food.,A lady is decorating her dish.,Someone put two sausages on a platter.,Someone is preparing some food.,A woman is preparing some bento.,a man coking.,somebody is decorating vegetables.,A video on How to make Bento.,A person making bento,A woman plates an asian dish.,A person making  Bento,A woman adds eyes to a piece of food to make it look like an octopus.,A plate with full of fruits are displayed,The woman is garnishing the plate.,How to make bento japanese boxed lunch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,6t0BpjwYKco_217_229,A woman seasons both sides of a pork chop.,A woman is seasoning a pork chop.,A woman seasons a pork chop.,A woman is grinding black pepper onto a pork chop.,A woman is spreading spices on a meat.,A woman is sprinkling pepper and salt over pork meat.,A woman is seasoning meat.,A woman seasons a piece of raw meat.,A woman is seasoning some meat.,A woman is seasoning a pork chop.,A woman is seasoning steak.,A woman is seasoning a piece of meat.,A woman is sprinkling salt and pepper on a pork loin.,The lady seasoned the meatn.,The woman is seasoning the pork chop.,A woman is grinding salt and pepper onto a pork chop.,A woman seasons some meat.,The lady seasoned the meat.,the women is cooking,A woman is spreading the pepper in the fish,a lady is putting the salt on the meat.,A woman is adding seasonings to a piece of meat.,A woman is putting spices on a piece of meat.,a lady making a dish in the kitchen,A woman is seasoning some meat.,Cooking with the dog show demonstrates how to make Japanese curry with tomato.,A woman is seasoning a piece of meat.,a woman coking.,A woman is seasoning some meat.,The woman is seasoning the port chop.,anyone is making dish,clear detail for making katsu curry,A woman is seasoning meat.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,MTkGPfMRXtc_5_21,Rubber band trouble.,A woman puts a rubberband on a stack of files.,a women package in covers.,The lady is tying up a bundle of files with a string.,A woman tying bundle of papers.,A woman ties together a stack of papers.,A woman is packing some packets with rubber band.,A women is trying to put a rubber band around a dozen of big envelopes,girl tying bundle of envelopes,A WOMAN IS TYING BUNNDELS OF ENVELOPS.,A woman is wrapping a cord around a pack of letters.,A office assistant trying to bundle up the letters,A woman is tying together a bundle of manila envelopes.,A woman is tying a bundle of envelops with string.,A lady is binding packets.,She is trying to tying up the bundles of envelope.,A woman is putting a rubber band on mail.,A woman is tying files.,The woman is tying envelopes together with a rubber band.,a women ready in package,A woman ties a bundle of envelopes together.,A woman in an office put a rubber band around a stack of items.,people working in lab,A woman is binding a few packetts with a rubber band.,A woman wraps a stack of envelopes with a rubber band.,a woman tying a bundle of covers,A lady is tying a bundle of parcels.,A woman is binding some of files.,"The lady is stacking pile of covers, with the help of thread.",A woman struggling to wrap a stack of envelopes at a office.,A woman is banding documents with rubber.,A woman is putting an elastic around a bundle of mail.,A woman is attempting to properly fit a string over a stack of documents.,A woman binds a stack of papers.,The woman is tying envelopes together.,A woman puts a big rubber band around a stack of envelops and files.,A woman is binding packets.,A woman is trying to bundle together several pieces of mail.,A woman is having difficulty bundling some business envelopes,A lady is rubber banding a pile of padded envelopes for mailing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
